City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hay River,60.8156,-115.7999,85.98,32,75,6.91,CA,1660851476
Iquique,-20.2208,-70.1431,62.64,73,19,8.19,CL,1660851238
Oranjemund,-28.55,16.4333,54.12,88,2,15.23,NA,1660851481
Ushuaia,-54.8,-68.3,42.46,61,75,5.75,AR,1660851483
Jamestown,42.097,-79.2353,79.95,45,75,6.91,US,1660851309
Wakkanai,45.4094,141.6739,64.22,82,0,14.52,JP,1660851488
Arraial do Cabo,-22.9661,-42.0278,82.26,51,0,25.32,BR,1660851491
Yumen,40.2833,97.2,66.99,26,0,4.97,CN,1660851493
Mount Isa,-20.7333,139.5,63.81,17,11,10.45,AU,1660851496
Suffolk,40.8668,-72.7996,85.91,52,0,11.5,US,1660851498
Hobart,-42.8794,147.3294,46.26,80,76,13.8,AU,1660851371
Dalvik,65.9702,-18.5286,53.53,80,100,6.8,IS,1660851503
Whitehorse,60.7161,-135.0538,64.09,47,75,12.66,CA,1660851505
Puerto del Rosario,28.5004,-13.8627,74.95,73,0,18.41,ES,1660851508
Nuevo Progreso,23.1667,-97.95,97.54,40,1,8.99,MX,1660851510
Mar del Plata,-38.0023,-57.5575,50.95,61,40,20.0,AR,1660851459
Luanda,-8.8368,13.2343,71.6,78,5,8.05,AO,1660851281
Barrow,71.2906,-156.7887,35.62,100,100,23.02,US,1660851517
Fare,-16.7,-151.0167,78.26,77,25,22.62,PF,1660851519
Lüderitz,-26.6481,15.1594,55.81,74,5,23.17,NA,1660851522
Departamento de Maldonado,-34.6667,-54.9167,49.39,67,61,17.47,UY,1660851524
Yellowknife,62.456,-114.3525,70.32,68,75,19.57,CA,1660851259
Labuhan,-6.8844,112.2051,76.46,86,53,7.92,ID,1660851529
Magistral'nyy,56.1725,107.4458,46.35,90,95,6.06,RU,1660851531
Puerto Ayora,-0.7393,-90.3518,76.96,90,87,5.99,EC,1660851534
Hithadhoo,-0.6,73.0833,81.45,78,100,13.2,MV,1660851536
Ondjiva,-17.0667,15.7333,67.6,14,3,5.41,AO,1660851539
Vaini,-21.2,-175.2,71.76,78,40,12.66,TO,1660851541
Erenhot,43.6475,111.9767,57.11,67,0,9.04,CN,1660851543
Busselton,-33.65,115.3333,56.32,78,98,8.81,AU,1660851546
Miles City,46.4083,-105.8406,85.17,28,0,11.5,US,1660851549
Mahébourg,-20.4081,57.7,70.25,78,20,6.91,MU,1660851552
Bredasdorp,-34.5322,20.0403,53.53,88,100,8.37,ZA,1660851554
Nanortalik,60.1432,-45.2371,41.79,74,1,14.47,GL,1660851557
Cherskiy,68.75,161.3,54.61,43,90,13.06,RU,1660851559
‘Āhuimanu,21.4447,-157.8378,85.71,72,75,11.5,US,1660851562
Enid,36.3956,-97.8784,87.48,34,20,13.8,US,1660851564
Río Gallegos,-51.6226,-69.2181,42.85,61,0,5.75,AR,1660851567
Bluff,-46.6,168.3333,48.18,94,6,9.22,NZ,1660851569
São Lourenço do Oeste,-26.3592,-52.8511,48.58,74,100,10.8,BR,1660851572
Kapaa,22.0752,-159.319,85.12,72,20,9.22,US,1660851519
Ca Mau,9.1769,105.15,79.2,82,100,4.54,VN,1660851577
George Town,5.4112,100.3354,79.9,86,20,2.3,MY,1660851579
Savalou,7.9281,1.9756,79.11,70,100,0.94,BJ,1660851582
St. George's,12.0564,-61.7485,87.48,66,20,10.27,GD,1660851584
Bo Rai,12.5728,102.5371,81.73,94,97,1.61,TH,1660851587
Punta Arenas,-53.15,-70.9167,44.71,65,100,13.8,CL,1660851446
Havøysund,70.9963,24.6622,52.03,71,46,9.78,NO,1660851591
Dikson,73.5069,80.5464,41.02,86,100,13.44,RU,1660851594
Thinadhoo,0.5333,72.9333,81.81,77,100,10.8,MV,1660851596
Pangnirtung,66.1451,-65.7125,42.8,87,75,9.22,CA,1660851599
Albany,42.6001,-73.9662,79.57,57,100,1.99,US,1660851307
Qaanaaq,77.484,-69.3632,37.44,98,100,2.51,GL,1660851603
